Model,Accuracy,Precision (macro avg),Recall (macro avg),F1 (macro avg),Balanced accuracy,AUC,Precision (0),Precision (1),Recall (0),Recall (1),F1 (0),F1 (1),CM
LR-Imbalanced data,0.8946299868033702,0.7909654265910697,0.5268835248602098,0.5245956988607412,0.5268835248602098,0.7355010645108461,0.6853932584269663,0.8965375947551731,0.05695611577964519,0.9968109339407745,0.10517241379310345,0.9440189839283789,"[[  61 1010]
 [  28 8752]]"
LR-SMOTE,0.680540046695767,0.5726775447986454,0.6715801658552563,0.5510867436102825,0.6715801658552563,0.7376864489151773,0.20257879656160457,0.9427762930356862,0.6601307189542484,0.6830296127562643,0.31001973251479936,0.7921537547057658,"[[ 707  364]
 [2783 5997]]"
LR-SMOTE Tomek Links,0.6813521469901532,0.573255720671937,0.6728555583205188,0.5519532529995139,0.6728555583205188,0.737617112144782,0.2033849684452094,0.9431264728986646,0.6619981325863679,0.6837129840546697,0.3111696291419793,0.7927368768570486,"[[ 709  362]
 [2777 6003]]"
XGB-Imbalanced data,0.8982844381281089,0.8118369397423613,0.5498388345467268,0.5642377378068528,0.5498388345467268,0.7520053427597311,0.7225806451612903,0.9010932343234324,0.10457516339869281,0.9951025056947608,0.18270799347471453,0.9457674821389911,"[[ 112  959]
 [  43 8737]]"
XGB-SMOTE,0.8922951984570094,0.7103231892240957,0.5661544040547122,0.5869022308378529,0.5661544040547122,0.7307781882684737,0.5161290322580645,0.9045173461901268,0.14939309056956115,0.9829157175398633,0.23171614771904414,0.9420883139566617,"[[ 160  911]
 [ 150 8630]]"
XGB-SMOTE Tomek Links,0.8913815856258248,0.7032237744040215,0.5681013103798846,0.589167309776042,0.5681013103798846,0.7242493124812568,0.5015105740181269,0.904936974789916,0.1549953314659197,0.9812072892938497,0.23680456490727533,0.9415300546448088,"[[ 166  905]
 [ 165 8615]]"
LGBM-Imbalanced data,0.8971678002233275,0.7878398467385287,0.5492124108565218,0.5631113594926362,0.5492124108565218,0.7520009294530264,0.6746987951807228,0.9009808982963345,0.10457516339869281,0.9938496583143508,0.18108326596604687,0.9451394530192256,"[[ 112  959]
 [  54 8726]]"
LGBM-SMOTE,0.892498223530606,0.7117710505036414,0.5871734950624138,0.613411427206241,0.5871734950624138,0.7354928759658761,0.5146341463414634,0.9089079546658193,0.19701213818860877,0.9773348519362187,0.2849426063470628,0.941880248065419,"[[ 211  860]
 [ 199 8581]]"
LGBM-SMOTE Tomek Links,0.8903664602578418,0.6997325357017817,0.589666747488669,0.6150371391022933,0.589666747488669,0.736369316139516,0.48997772828507796,0.9094873431184854,0.20541549953314658,0.9739179954441913,0.2894736842105263,0.9406005939940602,"[[ 220  851]
 [ 229 8551]]"
SVM-Imbalanced data,0.8947314993401685,0.8393737445953767,0.5212017912707984,0.5136362699303807,0.5212017912707984,0.5908801941429571,0.7833333333333333,0.8954141558574201,0.04388422035480859,0.9985193621867882,0.08311229000884174,0.9441602498519197,"[[  47 1024]
 [  13 8767]]"
SVM-SMOTE,0.7165769972591615,0.5784982910441911,0.6729408999742645,0.5711148111513674,0.6729408999742645,0.7386389787501941,0.2172198488333881,0.9397767332549941,0.6171802054154996,0.7287015945330296,0.32134175984443364,0.8208878624583013,"[[ 661  410]
 [2382 6398]]"
SVM-SMOTE Tomek Links,0.7165769972591615,0.5784982910441911,0.6729408999742645,0.5711148111513674,0.6729408999742645,0.7383926843326549,0.2172198488333881,0.9397767332549941,0.6171802054154996,0.7287015945330296,0.32134175984443364,0.8208878624583013,"[[ 661  410]
 [2382 6398]]"
